LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
10000,Mitte,"20,845",194,115,"1,921",539,619,"8,419",100,908,931,204,96,31,"1,689",404,960,"4,273"
11001,Tiergarten Süd,"26,982",320,213,"2,536",712,905,"11,071",126,"1,065","1,977",180,113,27,"1,691",266,"1,225","5,965"
11002,Regierungsviertel,"54,648",275,142,"3,539",952,"2,100","21,252",79,"1,542","1,817",252,102,16,"3,587",944,"1,093","8,589"
11003,Alexanderplatz,"33,163",236,138,"2,780",808,669,"14,995",83,"1,056","1,296",260,89,28,"2,301",579,"1,398","5,954"
11004,Brunnenstraße Süd,"12,339",146,111,945,225,279,"5,738",111,552,"1,158",143,54,16,"1,592",587,311,"2,975"
12005,Moabit West,"13,757",150,78,"1,320",337,455,"4,367",83,596,800,257,111,33,"1,372",194,802,"3,016"
12006,Moabit Ost,"22,983",138,71,"1,712",446,498,"8,542",62,545,956,224,128,42,"1,380",209,"1,094","4,208"
13007,Osloer Straße,"15,924",148,73,"1,676",513,593,"6,774",117,846,708,146,68,26,"1,332",380,833,"3,841"
13008,Brunnenstraße Nord,"16,696",163,94,"1,945",564,531,"6,381",117,924,673,175,137,36,"1,882",681,"1,018","3,723"
14009,Parkviertel,"13,055",130,65,"1,382",341,500,"5,518",102,919,482,198,70,30,"1,139",135,545,"3,075"
14010,Wedding Zentrum,"13,780",178,108,"1,766",543,571,"4,630",76,857,479,173,60,28,"1,308",317,948,"3,402"
19900,"Bezirk (Mi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20000,Friedrichshain-Kreuzberg,"19,678",255,156,"1,650",539,429,"8,321",87,936,"1,321",177,125,37,"1,957",426,"2,067","4,047"
21001,Südliche  Friedrichstadt,"22,333",348,153,"1,807",575,620,"9,349",64,"1,370",975,222,212,69,"1,814",328,"1,684","4,192"
22002,Tempelhofer Vorstadt,"16,918",191,109,"1,307",387,401,"8,046",81,"1,068","1,629",184,81,23,"1,337",338,"1,040","3,046"
23003,Nördliche Luisenstadt,"26,479",339,218,"2,474",978,571,"12,305",92,"1,370","1,462",252,169,68,"2,014",315,"2,798","4,952"
23004,Südliche Luisenstadt,"25,825",496,349,"2,058",941,459,"8,569",103,"1,095","1,723",257,92,29,"1,859",334,"6,765","4,803"
24005,Karl-Marx-Allee Nord,"10,436",115,82,"1,031",217,299,"5,325",115,662,949,123,82,12,"1,276",155,331,"3,112"
24006,Karl-Marx-Allee Süd,"28,004",298,178,"2,649",740,504,"11,934",85,806,"1,336",112,70,23,"2,239",596,"2,363","5,395"
25007,Frankfurter Allee Nord,"12,902",77,42,"1,018",291,282,"5,190",109,359,"1,040",122,166,42,"2,433",455,477,"3,153"
25008,Frankfurter Allee Süd FK,"16,441",166,106,"1,413",443,285,"6,168",60,447,"1,114",153,126,33,"2,522",691,"2,207","4,215"
29900,"Bezirk (Fh-Kb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30000,Pankow,"9,282",74,48,772,179,289,"4,499",99,545,943,146,57,19,"1,165",352,267,"2,166"
31001,Buch,"11,141",112,53,"1,273",296,420,"4,777",71,509,527,77,89,36,"1,308",444,272,"2,338"
32002,Blankenfelde/Niederschönhausen,"5,533",45,21,443,80,220,"2,484",98,440,548,150,38,10,621,101,63,"1,127"
32003,Buchholz,"4,395",38,11,409,55,180,"1,985",55,316,333,191,11,5,371,38,65,960
33004,Karow,"3,789",25,25,366,56,163,"1,509",41,168,396,102,25,5,559,91,122,752
33005,Blankenburg/Heinersdorf/Märchenland,"9,155",13,6,701,120,309,"3,984",63,581,549,354,19,13,903,278,114,"1,414"
34006,Schönholz/Wilhelmsruh/Rosenthal,"5,889",32,16,524,119,195,"2,955",76,567,319,286,38,16,675,124,108,"1,210"
34007,Pankow Zentrum,"8,287",70,35,657,143,288,"4,191",75,415,"1,236",110,38,16,"1,037",318,127,"1,810"
34008,Pankow Süd,"6,272",62,31,546,118,256,"2,808",82,374,850,90,34,11,706,214,189,"1,443"
35009,Weißensee,"8,524",62,39,700,158,364,"4,248",119,591,837,145,65,21,"1,116",320,168,"2,239"
35010,Weißensee Ost,"9,031",64,26,842,223,383,"3,772",160,881,645,153,109,38,"1,411",179,313,"2,598"
36011,Prenzlauer Berg Nordwest,"13,476",142,120,"1,035",310,276,"6,654",97,486,"1,681",105,67,15,"1,371",445,"1,076","3,291"
36012,Prenzlauer Berg Nord,"10,538",58,18,758,171,230,"5,786",124,587,"1,228",98,66,15,"1,261",404,262,"2,409"
36013,Helmholtzplatz,"10,334",35,26,879,181,234,"4,920",71,296,"1,347",106,84,22,"1,736",676,384,"2,654"
36014,Prenzlauer Berg Ost,"16,421",165,110,"1,299",319,440,"8,410",169,950,"1,024",191,99,33,"2,106",826,294,"3,314"
37015,Prenzlauer Berg Südwest,"11,922",103,81,"1,087",305,294,"6,044",110,661,"1,231",151,70,18,"1,609",503,342,"3,101"
37016,Prenzlauer Berg Süd,"8,627",45,33,605,131,208,"4,169",95,540,"1,033",154,33,12,"1,184",410,187,"2,407"
39900,"Bezirk (Pk), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40000,Charlottenburg-Wilmersdorf,"14,120",115,72,"1,126",276,420,"6,416",137,"1,163",951,312,55,26,"1,145",253,432,"3,066"
41001,Charlottenburg Nord,"12,319",113,51,"1,252",298,513,"4,459",200,"1,478",349,570,123,51,"1,067",200,"1,570","3,140"
42002,Heerstraße,"9,380",30,15,937,221,427,"3,581",183,907,518,472,122,61,"1,387",488,198,"2,210"
42003,Westend,"10,954",91,46,781,161,435,"5,530",130,964,687,249,67,28,950,200,151,"2,786"
43004,Schloss Charlottenburg,"10,814",122,83,963,221,409,"4,663",67,828,947,232,60,25,"1,276",405,336,"2,612"
43005,Mierendorffplatz,"12,244",142,90,"1,315",271,458,"4,685",155,"1,141",780,193,45,19,"1,186",200,535,"3,106"
43006,Otto-Suhr-Allee/Kantstraße,"16,417",142,88,"1,333",334,478,"8,372",80,890,"1,184",274,48,22,"1,191",200,390,"3,371"
44007,Grunewald,"9,124",66,46,663,127,455,"4,048",213,"1,447",491,658,51,46,"1,144",440,86,"2,313"
44008,Schmargendorf,"6,912",41,21,509,107,213,"3,747",154,787,687,178,41,27,648,68,98,"1,510"
45009,Halensee,"13,173",75,40,952,190,277,"7,258",165,"1,804",877,248,25,14,"1,110",133,212,"2,946"
45010,Lietzenburger Straße,"27,804",188,117,"2,153",609,583,"11,634",154,"1,597","1,451",363,51,15,"1,582",407,636,"4,800"
45011,Volkspark Wilmersdorf,"12,722",88,66,791,198,286,"5,366",102,821,"1,157",298,28,10,857,148,541,"2,941"
49900,"Bezirk (Ch-Wi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50000,Spandau,"9,973",94,52,"1,170",263,468,"3,811",123,579,362,180,78,28,959,121,280,"2,714"
51001,Hakenfelde,"6,665",26,7,733,138,370,"2,710",90,512,254,142,60,30,774,64,168,"1,813"
51002,Falkenhagener Feld,"7,408",100,57,998,188,448,"2,869",79,421,376,160,76,19,898,60,171,"2,877"
51003,Spandau Mitte,"13,895",164,100,"1,679",444,686,"4,618",95,668,544,119,84,34,"1,346",240,731,"3,728"
52004,Brunsbütteler Damm,"7,655",60,13,852,201,424,"3,207",218,407,343,163,51,17,792,107,116,"2,402"
52005,Heerstraße,"7,512",46,26,"1,181",293,444,"2,934",158,437,191,237,105,46,668,33,138,"2,549"
52006,Wilhelmstadt,"14,830",138,72,"1,516",334,483,"5,614",80,478,425,180,72,14,"1,138",210,334,"3,088"
53007,Haselhorst,"10,612",75,37,"1,237",224,361,"4,047",193,"1,007",218,249,106,56,864,118,249,"2,499"
53008,Siemensstadt,"12,984",102,47,"1,173",297,477,"5,741",133,"1,377",524,156,94,8,"1,205",172,266,"2,667"
54009,Gatow/Kladow,"4,022",20,10,498,55,176,"1,574",101,121,166,277,35,20,397,30,65,875
59900,"Bezirk (Sp), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60000,Steglitz-Zehlendorf,"7,414",58,38,680,125,278,"3,302",101,469,540,283,52,20,962,284,160,"1,755"
61001,Schloßstraße,"14,683",167,104,"1,020",212,366,"8,258",72,420,"1,151",208,32,5,"1,156",257,275,"2,461"
61002,Albrechtstraße,"5,912",35,26,478,86,256,"2,626",82,510,459,261,24,13,605,121,112,"1,659"
62003,Lankwitz,"6,474",39,11,840,149,326,"2,376",76,381,264,236,39,11,723,83,191,"1,873"
62004,Ostpreußendamm,"5,786",39,20,690,98,252,"2,256",126,352,335,266,64,31,713,123,106,"1,409"
63005,Teltower Damm,"6,703",76,50,688,123,228,"3,005",70,348,579,263,50,9,884,243,193,"1,647"
63006,Drakestraße,"6,191",30,18,631,137,259,"2,892",145,414,360,235,28,12,736,133,76,"1,689"
64007,Zehlendorf Südwest,"8,143",71,59,661,130,249,"2,921",74,471,534,330,111,52,"1,889","1,154",208,"1,440"
64008,Zehlendorf Nord,"7,899",49,37,546,77,242,"3,632",107,593,806,444,70,14,"1,320",462,184,"1,724"
69900,"Bezirk (St-Zd), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70000,Tempelhof-Schöneberg,"11,132",79,46,918,213,392,"5,065",113,727,686,171,50,24,"1,055",261,377,"2,680"
71001,Schöneberg Nordwest,"24,046",272,178,"1,959",567,598,"11,913",68,934,"1,607",166,79,26,"1,346",257,"1,123","4,304"
71002,Schöneberg Nordost,"11,998",112,50,888,191,399,"5,106",87,668,"1,295",149,54,21,"1,162",411,548,"2,395"
72003,Schöneberg Südwest,"9,785",114,62,849,199,356,"4,172",128,664,920,190,66,47,"1,062",204,422,"2,645"
72004,Schöneberg Südost,"15,368",63,46,"1,265",314,439,"5,822",102,578,"1,159",132,59,26,"1,456",575,618,"2,807"
73005,Friedenau West,"8,465",41,16,638,130,171,"4,574",57,317,"1,113",179,20,12,857,272,154,"2,019"
73006,Friedenau Ost,"8,613",65,28,683,148,291,"4,348",125,"1,168",651,194,51,32,794,152,291,"1,865"
74007,Tempelhof Nord,"13,822",80,57,"1,003",211,439,"4,330",103,929,832,165,68,17,"1,897",849,"1,065","2,854"
74008,Tempelhof Südwest,"10,919",56,22,977,200,384,"4,696",119,796,350,247,56,37,"1,087",315,175,"2,339"
74009,Tempelhof Südost,"15,250",59,26,"1,313",309,591,"7,103",217,"1,451",394,217,85,46,"1,536",131,328,"3,269"
75010,Mariendorf Nord,"7,808",50,25,772,163,439,"3,714",91,696,242,213,38,31,703,78,141,"2,531"
75011,Mariendorf Süd,"8,217",38,29,694,143,356,"3,536",176,746,299,238,29,14,846,119,128,"2,400"
76012,Marienfelde Nord,"7,078",39,28,617,135,309,"3,564",129,612,337,101,39,28,623,62,180,"1,948"
76013,Marienfelde Süd,"8,120",41,35,835,228,338,"3,991",69,587,90,62,28,0,746,35,255,"2,451"
76014,Lichtenrade Nord,"5,549",33,5,401,84,299,"2,557",135,448,131,149,47,9,714,98,79,"2,403"
76015,Lichtenrade Süd,"7,130",42,23,572,111,330,"3,679",88,265,245,118,36,13,872,239,131,"3,134"
79900,"Bezirk (Th-Sb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80000,Neukölln,"13,044",137,71,"1,304",383,482,"5,559",116,"1,026",591,222,102,44,"1,260",193,839,"3,073"
81001,Schillerpromenade,"14,263",179,86,"1,516",499,459,"5,997",65,"1,094",848,148,117,46,"1,307",200,"1,516","3,359"
81002,Neuköllner Mitte/Zentrum,"22,525",245,111,"2,018",680,519,"10,272",76,"1,628",819,171,126,50,"1,697",263,"1,834","4,018"
81003,Reuterstraße,"17,431",142,91,"1,600",567,514,"8,075",43,"1,187","1,240",144,149,81,"1,405",415,"1,180","3,850"
81004,Rixdorf,"12,667",132,70,"1,167",355,432,"4,931",70,"1,002",922,207,107,52,"1,340",215,"1,437","2,949"
81005,Köllnische Heide,"15,258",110,26,"1,435",381,588,"6,702",278,"1,842",246,381,129,45,"1,564",174,918,"3,625"
82006,Britz Nord,"10,896",162,64,"1,310",402,515,"3,900",152,"1,099",334,339,113,54,"1,119",74,535,"2,983"
82007,Britz,"11,909",117,65,"1,187",237,514,"5,000",138,985,367,298,95,47,"1,162",151,350,"2,846"
82008,Buckow,"6,353",66,28,835,156,343,"2,293",142,544,114,177,52,21,672,66,104,"2,137"
83009,Gropiusstadt West,"11,811",101,55,"1,095",283,565,"5,696",86,747,267,257,91,20,"1,493",217,161,"3,093"
83010,Gropiusstadt Ost,"8,010",68,34,"1,264",333,632,"2,347",56,485,333,169,96,28,"1,201",169,135,"2,849"
